point_id,dm41_calc_eV2,Ue4_abs,Umu4_abs,Ue4Umu4_abs,Umu4_sq,chi2_FHC_app,FHC_app_max_abs_rel,FHC_app_n3_total,FHC_app_n4_total,chi2_RHC_app,RHC_app_max_abs_rel,RHC_app_n3_total,RHC_app_n4_total,chi2_FHC_dis,FHC_dis_max_abs_rel,FHC_dis_n3_total,FHC_dis_n4_total,chi2_RHC_dis,RHC_dis_max_abs_rel,RHC_dis_n3_total,RHC_dis_n4_total,chi2_appearance,chi2_disappearance,chi2_all,excluded_appearance_90cl_stat_only,excluded_disappearance_90cl_stat_only,excluded_all_90cl_stat_only
14,36.678610346,0.040599869717,0.051124798365,0.0020756601529268947,0.0026137450078619067,321.3269644619841,0.0054582662860483125,17976287.916006982,17902253.18596247,153.1397539725666,0.005480542866682081,8825871.10647449,8790281.829186128,13199.708766637059,0.007362294272048804,504470830.8777392,501920367.5626262,5757.6245890249675,0.007189794532986955,221111620.85245797,220000647.75946248,474.4667184345507,18957.333355662027,19431.800074096576,True,True,True
48,75.951047887,0.00078796180331,0.0081119061201,6.391872174675421e-06,6.580302090131583e-05,0.1567510296785514,0.00011752127584520544,17976287.767169964,17974680.347728465,0.06948729690591421,0.00011305462846595581,8825871.058316972,8825126.028131144,8.65924000578532,0.00016812933513228023,504470829.12134904,504404952.14298975,3.803976999323149,0.0001618506744318081,221111620.1963326,221082711.70732504,0.2262383265844656,12.463217005108469,12.689455331692933,False,True,True
81,65.3472387,0.020206635513,0.0024938851419,5.0393028073659584e-05,6.2194631009895826e-06,1.6578895820932598,0.0007707428476851574,17976287.830261,17971665.494122516,0.9998390768870744,0.0007662330743953391,8825871.081281573,8823290.186156603,0.07685680905552472,1.500332087811252e-05,504470828.9485234,504464629.40464455,0.033807951744527207,1.4970786234761387e-05,221111620.13112974,221108897.46441868,2.657728658980334,0.11066476080005193,2.7683934197803857,False,False,False
88,18.368390914,0.013631977663,0.019603293496,0.00026723165905870517,0.00038428911589031585,7.355476890149544,0.0009037149478766367,17976287.8015458,17965529.264029283,3.693017944497809,0.0009095772644844818,8825871.071130998,8820537.620318117,285.7935120972624,0.001483659608326958,504470829.16153055,504121511.590469,132.43115573382607,0.0014681214690074069,221111620.21143845,220955575.4731735,11.048494834647354,418.2246678310885,429.2731626657358,True,True,True
95,51.485225469,0.11141789736,0.10953286007,0.012203920960826503,0.011997447435114201,4900.982565201115,0.033523592282851795,17976289.322719645,17693423.934354905,2647.2462130038134,0.0308861120477763,8825871.63735572,8679032.899661284,294111.05080562935,0.03421132884792196,504470834.68823844,492365434.1528645,129663.8474623616,0.03309117324771453,221111622.28810677,215792421.9780942,7548.228778204928,423774.89826799097,431323.1270461959,True,True,True
111,48.821397112,0.09518317234,0.027408029646,0.002608783209295047,0.000751200089076015,1204.9597443154637,0.02171307045015893,17976289.156523857,17854517.84363551,660.0990617763849,0.019865720430464223,8825871.565742165,8761106.874934917,1171.340730472429,0.0022115097993505636,504470828.94661385,503706741.0536339,516.4233401449014,0.0020569395073203474,221111620.12572503,220775927.75288948,1865.0588060918485,1687.7640706173304,3552.8228767091787,True,True,True
122,42.666937126,0.038310110553,0.0052362757452,0.00020060230268460446,2.7418583679769818e-05,27.136406304456976,0.003523801069569743,17976287.99291093,17958440.108141854,14.64348823142214,0.003143744985296614,8825871.139639206,8816351.0409486,1.4939534304643711,7.929209244874001e-05,504470828.92409635,504443586.9059924,0.6565494429866061,7.563095722522642e-05,221111620.12082162,221099687.3914793,41.779894535879116,2.1505028734509772,43.93039740933009,True,False,True
134,39.087996543,0.012898805265,0.029779330204,0.00038411778122352875,0.0008868085073988667,31.08292324662771,0.0017949278508453184,17976287.776040025,17953497.584889445,14.217656224096652,0.0017907520951028029,8825871.06167413,8815175.969680345,1543.7075856179108,0.0024639208365472296,504470829.3906066,503597879.36540234,680.1996454239841,0.0023899600384992723,221111620.29751918,220729188.59265986,45.300579470724365,2223.907231041895,2269.2078105126193,True,True,True
152,84.063740301,0.034158517621,0.026966890801,0.0009211490146095413,0.0007272131994730584,51.45255507053375,0.002843247632375949,17976287.925088823,17946384.088315483,26.647339168712385,0.0025625410413354015,8825871.116835939,8810751.988044284,1059.068862270434,0.0018662143931031684,504470829.2327655,503742000.5996178,462.8086892140649,0.0018015321277806934,221111620.2380697,220792723.21802273,78.09989423924614,1521.8775514844988,1599.977445723745,True,True,True
166,33.287558808,0.047412268352,0.074542728002,0.003534239823720969,0.005556618297980155,1223.4433759677443,0.010364670091542925,17976287.913188756,17833370.69562156,565.9023229187427,0.010346679194978291,8825871.100855969,8758375.35614182,64410.480559970696,0.0156432659521622,504470832.8586977,498856647.63782823,27731.43535396909,0.015521528195824173,221111621.59435824,218684658.04081026,1789.3456988864868,92141.91591393978,93931.26161282627,True,True,True
198,96.734425703,0.0297720345,0.0051616638156,0.00015367323319544484,2.6642773345274354e-05,8.872613998407322,0.0017867090698519945,17976287.91528315,17965485.80381055,5.028537196946431,0.0016267626512142482,8825871.112338774,8819998.20676748,1.4404334961749645,6.69309401547228e-05,504470828.6694614,504443923.4258551,0.6378998834016102,6.692995378446906e-05,221111620.02597895,221099769.88824826,13.901151195353753,2.078333379576575,15.979484574930328,True,False,True
217,59.709576611,0.016305080335,0.048928919182,0.0007977899579672325,0.0023940391323186874,219.0937832857753,0.0044544828909973775,17976287.75300535,17915501.87289124,98.76552780909881,0.004412625945651901,8825871.0504113,8797406.242738891,11647.079930743117,0.006716977452112347,504470830.1825298,502057859.4385808,5139.948147639661,0.006704999866375782,221111620.5936574,220050808.15811443,317.8593110948741,16787.028078382777,17104.88738947765,True,True,True
