point_id,backend,asimov_mode,detector_mode,source_model,dm41_eV2,sin2_theta14_eff,sin2_theta24_eff,theta14_rad_eff,theta24_rad_eff,chi2_min,chi2_stat,chi2_prior,chi2_pulls_norm,chi2_pulls_shape,chi2_ND,chi2_FD,chi2_FHC_app,chi2_RHC_app,chi2_FHC_dis,chi2_RHC_dis,n_component_rows,minimizer_status,pull_01_ND_fiducial_volume,pull_02_FD_fiducial_volume,pull_03_flux_FHC_signal,pull_04_flux_RHC_signal,pull_05_flux_FHC_background,pull_06_flux_RHC_background,pull_07_ND_flux_FHC_signal,pull_08_ND_flux_RHC_signal,pull_09_ND_flux_FHC_background,pull_10_ND_flux_RHC_background,pull_11_xsec_nue_CC,pull_12_xsec_numu_CC,pull_13_xsec_nutau_CC,pull_14_xsec_nuebar_CC,pull_15_xsec_numubar_CC,pull_16_xsec_nutaubar_CC,pull_17_ND_xsec_nue_CC,pull_18_ND_xsec_numu_CC,pull_19_ND_xsec_nutau_CC,pull_20_ND_xsec_nuebar_CC,pull_21_ND_xsec_numubar_CC,pull_22_ND_xsec_nutaubar_CC,pull_23_xsec_nu_NC,pull_24_xsec_nubar_NC,pull_25_ND_xsec_nu_NC,pull_26_ND_xsec_nubar_NC
1,analytic_3p1,standard3nu,ND+FD,point,0.1,0,1e-005,0,0.00316228293065,1.28001735839e-005,1.28001735839e-005,0,0,0,5.14652235728e-006,7.65365122663e-006,2.73536145833e-007,7.48954643948e-008,8.54298601733e-006,3.90875595635e-006,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,analytic_3p1,standard3nu,ND+FD,point,0.1,0,1.46779926762e-005,0,0.00383119622197,2.75293567326e-005,2.75293567326e-005,0,0,0,1.10402825109e-005,1.64890742218e-005,5.89974120633e-007,1.61775794691e-007,1.83548377322e-005,8.42276908509e-006,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,analytic_3p1,standard3nu,ND+FD,point,0.1,0,2.15443469003e-005,0,0.00464160550044,5.9360017103e-005,5.9360017103e-005,0,0,0,2.3836024218e-005,3.5523992885e-005,1.27165939822e-006,3.48773970569e-007,3.95793163411e-005,1.81602673931e-005,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,analytic_3p1,standard3nu,ND+FD,point,0.1,0,3.16227766017e-005,0,0.00562344289032,0.000127878814311,0.000127878814311,0,0,0,5.13464363808e-005,7.65323779307e-005,2.74091132843e-006,7.51172644853e-007,8.52497842399e-005,3.91369460983e-005,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,analytic_3p1,standard3nu,ND+FD,point,0.1,0,4.64158883361e-005,0,0.00681297339631,0.000275507850913,0.000275507850913,0,0,0,0.000110630134294,0.000164877716618,5.90342849054e-006,1.61909681339e-006,0.000183683361848,8.43019637604e-005,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,analytic_3p1,standard3nu,ND+FD,point,0.1,0,6.81292069058e-005,0,0.00825413557911,0.000207772545556,0.000176133430619,0,3.16391149369e-005,0,0.000152292584423,2.38408461964e-005,2.33475855671e-006,7.29788310149e-007,0.000127710598316,4.53582854362e-005,1472,0,-2.66787423167e-005,2.80285985575e-005,3.11393774267e-005,3.33232685262e-005,3.19967617571e-005,4.50944026872e-005,-1.90891150751e-006,-1.60763825325e-006,-2.71476815775e-006,-1.60864570947e-005,-2.02621757843e-006,5.88928664327e-005,0,-2.02621757833e-006,4.23527974517e-005,0,7.75808226504e-007,-6.10650402132e-005,0,7.75808226504e-007,-4.71163792947e-005,0,5.28725795165e-006,5.28725795165e-006,-2.81541838175e-006,-2.81541838175e-006
7,analytic_3p1,standard3nu,ND+FD,point,0.1,0,0.0001,0,0.0100001666742,0.000447624778302,0.000379470052681,0,6.81547256216e-005,0,0.000328091326375,5.13787263055e-005,5.02981130878e-006,1.57204955675e-006,0.000275136789344,9.77314024708e-005,1472,0,-3.91563908897e-005,4.11375880602e-005,4.57033234774e-005,4.89087073055e-005,4.69622087403e-005,6.61867332403e-005,-2.80168740881e-006,-2.35946922158e-006,-3.98494595344e-006,-2.36117018524e-005,-2.97193837091e-006,8.64365182427e-005,0,-2.97193837067e-006,6.21598500608e-005,0,1.13667616995e-006,-8.96246777648e-005,0,1.13667616995e-006,-6.91515510239e-005,0,7.75996101768e-006,7.75996101768e-006,-4.13192839801e-006,-4.13192839801e-006
8,analytic_3p1,standard3nu,ND+FD,point,0.1,0,0.000146779926762,0,0.0121155729858,0.000964322391523,0.000817518187686,0,0.000146804203837,0,0.000706778016024,0.000110740171662,1.08342727981e-005,3.38679251418e-006,0.000592747263818,0.000210549858556,1472,0,-5.74680045446e-005,6.03757434196e-005,6.70767556347e-005,7.17813408389e-005,6.89254416937e-005,9.71428096493e-005,-4.11185547065e-006,-3.46275223022e-006,-5.84954866468e-006,-3.46572769888e-005,-4.35755087601e-006,0.000126857644351,0,-4.35755087596e-006,9.12261711478e-005,0,1.66394343794e-006,-0.000131536887304,0,1.66394343794e-006,-0.00010148797953,0,1.13886156138e-005,1.13886156138e-005,-6.06367558137e-006,-6.06367558137e-006
9,analytic_3p1,standard3nu,ND+FD,point,0.1,0,0.000215443469003,0,0.0146785197736,0.00207739624182,0.00176121296716,0,0.000316183274666,0,0.00152247908297,0.000238733884186,2.33393850949e-005,7.29456660557e-006,0.00127698488388,0.00045359413158,1472,0,-8.43392235091e-005,8.86066403994e-005,9.84411632448e-005,0.000105345946389,0.00010115659311,0.000142573148732,-6.03439945155e-006,-5.0816006602e-006,-8.58693973195e-006,-5.0869951541e-005,-6.38592225166e-006,0.000186171940063,0,-6.38592225173e-006,0.000133875789725,0,2.43265282578e-006,-0.000193039410649,0,2.43265282578e-006,-0.000148936764471,0,1.67131046435e-005,1.67131046435e-005,-8.89777158005e-006,-8.89777158006e-006
10,analytic_3p1,standard3nu,ND+FD,point,0.1,0,0.000316227766017,0,0.0177837314693,0.00447515386543,0.00379426367716,0,0.000680890188279,0,0.00327944795007,0.000514815727082,5.02779583489e-005,1.57103259568e-005,0.00275106755296,0.000977207839886,1472,0,-0.000123766612747,0.000130029117433,0.000144461598921,0.000154595134349,0.000148451464802,0.000209240761747,-8.85517787672e-006,-7.4565625555e-006,-1.26060098207e-005,-7.46669303953e-005,-9.35151940502e-006,0.000273199226233,0,-9.35151940529e-006,0.000196446951706,0,3.54978719829e-006,-0.000283277746081,0,3.54978719829e-006,-0.000218550638618,0,2.45248112292e-005,2.45248112292e-005,-1.30547852856e-005,-1.30547852856e-005
