point_id,backend,asimov_mode,detector_mode,source_model,dm41_eV2,sin2_theta14_eff,sin2_theta24_eff,theta14_rad_eff,theta24_rad_eff,chi2_min,chi2_stat,chi2_prior,chi2_pulls_norm,chi2_pulls_shape,chi2_ND,chi2_FD,chi2_FHC_app,chi2_RHC_app,chi2_FHC_dis,chi2_RHC_dis,n_component_rows,minimizer_status,pull_01_ND_fiducial_volume,pull_02_FD_fiducial_volume,pull_03_flux_FHC_signal,pull_04_flux_RHC_signal,pull_05_flux_FHC_background,pull_06_flux_RHC_background,pull_07_ND_flux_FHC_signal,pull_08_ND_flux_RHC_signal,pull_09_ND_flux_FHC_background,pull_10_ND_flux_RHC_background,pull_11_xsec_nue_CC,pull_12_xsec_numu_CC,pull_13_xsec_nutau_CC,pull_14_xsec_nuebar_CC,pull_15_xsec_numubar_CC,pull_16_xsec_nutaubar_CC,pull_17_ND_xsec_nue_CC,pull_18_ND_xsec_numu_CC,pull_19_ND_xsec_nutau_CC,pull_20_ND_xsec_nuebar_CC,pull_21_ND_xsec_numubar_CC,pull_22_ND_xsec_nutaubar_CC,pull_23_xsec_nu_NC,pull_24_xsec_nubar_NC,pull_25_ND_xsec_nu_NC,pull_26_ND_xsec_nubar_NC
1,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,1e-005,0,0.00316228293065,1.01707709432e-005,1.01707709432e-005,0,0,0,2.51711971659e-006,7.65365122663e-006,2.4302121646e-007,6.33200940037e-008,6.60080119552e-006,3.26362843723e-006,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,1.46779926762e-005,0,0.00383119622197,2.19430531991e-005,2.19430531991e-005,0,0,0,5.4539789773e-006,1.64890742218e-005,5.23069258294e-007,1.36760769286e-007,1.42332027142e-005,7.05002045731e-006,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,2.15443469003e-005,0,0.00464160550044,4.72347053372e-005,4.72347053372e-005,0,0,0,1.17107124522e-005,3.5523992885e-005,1.12639033423e-006,2.95552259065e-007,3.06238651681e-005,1.51888975757e-005,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,3.16227766017e-005,0,0.00562344289032,0.000101736790779,0.000101736790779,0,0,0,2.52044128481e-005,7.65323779307e-005,2.42746776782e-006,6.35963840318e-007,6.59613582799e-005,3.27120008907e-005,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,4.64158883361e-005,0,0.00681297339631,0.00021918650953,0.00021918650953,0,0,0,5.43087929117e-005,0.000164877716618,5.2288179698e-006,1.37038716703e-006,0.000142114501303,7.04728030901e-005,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,6.81292069058e-005,0,0.00825413557911,0.000130310668758,9.86207249791e-005,0,3.16899437789e-005,0,7.47885661267e-005,2.38321588524e-005,1.29186241424e-006,4.95681292334e-007,7.10359162217e-005,2.57972650508e-005,1472,0,-2.67504452043e-005,2.80621281134e-005,3.04650653537e-005,3.19115748744e-005,3.13025391659e-005,4.45332397842e-005,-1.909597109e-006,-1.61673808927e-006,-2.71021225668e-006,-1.61331886034e-005,-1.6102377672e-006,5.95450942033e-005,0,-1.61023776725e-006,4.37555468686e-005,0,7.24777747182e-007,-6.10844407105e-005,0,7.24777747182e-007,-4.71086033003e-005,0,4.5830158033e-006,4.5830158033e-006,-2.84810735934e-006,-2.84810735934e-006
7,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,0.0001,0,0.0100001666742,0.000280733213793,0.000212468989145,0,6.82642246477e-005,0,0.000161108984072,5.13600050729e-005,2.78342922218e-006,1.0681027334e-006,0.000153039247189,5.55782100012e-005,1472,0,-3.92616331638e-005,4.11868013132e-005,4.47135998555e-005,4.6836689907e-005,4.59432611631e-005,6.53630846702e-005,-2.80269376518e-006,-2.37282549492e-006,-3.97825887226e-006,-2.36802922802e-005,-2.36138408127e-006,8.73938287235e-005,0,-2.3613840814e-006,6.42187405013e-005,0,1.06177740688e-006,-8.96531537902e-005,0,1.06177740688e-006,-6.91401385986e-005,0,6.72630798539e-006,6.72630798539e-006,-4.17990792202e-006,-4.17990792202e-006
8,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,0.000146779926762,0,0.0121155729858,0.000604813831379,0.000457773745591,0,0.000147040085788,0,0.000347073920619,0.000110699824972,5.99626668147e-006,2.30037554119e-006,0.00032972497448,0.000119752128889,1472,0,-5.7622472243e-005,6.04479755716e-005,6.56241071287e-005,6.87401763574e-005,6.74298997717e-005,9.59339147435e-005,-4.11333266689e-006,-3.48235556895e-006,-5.83973351645e-006,-3.47579495604e-005,-3.46142406105e-006,0.000128262721569,0,-3.46142406095e-006,9.42480708672e-005,0,1.55401513962e-006,-0.000131578684368,0,1.55401513962e-006,-0.000101471230907,0,9.87149171375e-006,9.87149171375e-006,-6.13409701866e-006,-6.13409701866e-006
9,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,0.000215443469003,0,0.0146785197736,0.00130296538986,0.000986274006555,0,0.0003166913833,0,0.000747627086223,0.000238646920333,1.29185382652e-005,4.95460704105e-006,0.000710394075923,0.000258006785326,1472,0,-8.45659363677e-005,8.87126561773e-005,9.63091114002e-005,0.000100882431464,9.89615855361e-005,0.000140798854028,-6.03656782293e-006,-5.11037229436e-006,-8.57253337357e-006,-5.10177091696e-005,-5.07068345815e-006,0.00018823417693,0,-5.07068345879e-006,0.000138311034264,0,2.27131749535e-006,-0.000193100760293,0,2.27131749535e-006,-0.000148912186294,0,1.44864248215e-005,1.44864248215e-005,-9.00112992303e-006,-9.00112992303e-006
10,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,0.000316227766017,0,0.0177837314693,0.00280700133018,0.0021250167195,0,0.000681984610678,0,0.00161038846761,0.000514628251888,2.78305385142e-005,1.06700054004e-005,0.00153061809804,0.000555898077549,1472,0,-0.000124099349991,0.000130184713267,0.000141332486239,0.000148044245512,0.000145229952633,0.000206636712568,-8.85836092106e-006,-7.49878894544e-006,-1.25848648468e-005,-7.48837884742e-005,-7.42121859006e-006,0.000276225886335,0,-7.42121859036e-006,0.000202956359102,0,3.31301667978e-006,-0.000283367794923,0,3.31301667978e-006,-0.000218514574507,0,2.12568229837e-005,2.12568229837e-005,-1.32064812445e-005,-1.32064812445e-005
11,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,0.000464158883361,0,0.0215460139152,0.00604700183516,0.00457867881034,0,0.00146832302483,0,0.00346842936164,0.0011102494487,5.99566379316e-005,2.29732593429e-005,0.00329796706593,0.00119778184713,1472,0,-0.00018209590925,0.000191025439408,0.000207383180802,0.000217232635771,0.000213112863345,0.000303241439392,-1.29977520426e-005,-1.10019521579e-005,-1.84766010025e-005,-0.000109914431008,-1.08464832909e-005,0.000405306045846,0,-1.08464832901e-005,0.000297777531897,0,4.81798705012e-006,-0.000415786222234,0,4.81798705012e-006,-0.000320609242273,0,3.11870909453e-005,3.11870909453e-005,-1.93728951324e-005,-1.93728951324e-005
12,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,0.000681292069058,0,0.0261045368649,0.0130264012125,0.00986605572301,0,0.00316034548949,0,0.00746929277275,0.00239676295027,0.000129161289513,4.94495983996e-005,0.00710646974357,0.00258097509154,1472,0,-0.000267157387091,0.000280258626229,0.000304257840101,0.000318710425438,0.000312687242464,0.000444968756969,-1.90683016064e-005,-1.61383930102e-005,-2.71297567584e-005,-0.000161332426182,-1.58205537197e-005,0.000594610350531,0,-1.58205537215e-005,0.000436815558434,0,6.9752042963e-006,-0.0006099873048,0,6.9752042963e-006,-0.000470317959574,0,4.57469713844e-005,4.57469713844e-005,-2.84106055979e-005,-2.84106055979e-005
13,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,0.001,0,0.0316280494376,0.0280599343062,0.0212608482564,0,0.00679908604976,0,0.0160819559962,0.00517889226021,0.00027823872181,0.000106392952475,0.0153143039104,0.00556191267176,1472,0,-0.000391868743603,0.00041108684379,0.000446289893717,0.000467493832462,0.000458704386039,0.000652847241968,-2.79673474622e-005,-2.36658110197e-005,-3.98422540884e-005,-0.000236803758324,-2.30061784517e-005,0.000872127478186,0,-2.30061784544e-005,0.000640593010104,0,1.00300300247e-005,-0.000894685180986,0,1.00300300247e-005,-0.000689746342257,0,6.70840177919e-005,6.70840177919e-005,-4.16474112642e-005,-4.16474112642e-005
14,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0,0.00146779926762,0,0.0383212470469,0.0604389591265,0.0458213275231,0,0.0146176316034,0,0.0346154435065,0.0112058840166,0.00059935115085,0.00022876731367,0.0330060281308,0.0119871809277,1472,0,-0.000574614464343,0.000602797165277,0.000654418679456,0.0006855212338,0.00067273099245,0.000957650467724,-4.10050076433e-005,-3.46890352379e-005,-5.85263654314e-005,-0.000347580419899,-3.33048512026e-005,0.00127872651227,0,-3.33048512033e-005,0.000939045979728,0,1.42736488837e-005,-0.00131180960528,0,1.42736488837e-005,-0.00101114696944,0,9.83294646075e-005,9.83294646075e-005,-6.10145230949e-005,-6.10145230949e-005
