point_id,backend,asimov_mode,detector_mode,source_model,dm41_eV2,sin2_theta14_eff,sin2_theta24_eff,theta14_rad_eff,theta24_rad_eff,chi2_min,chi2_stat,chi2_prior,chi2_pulls_norm,chi2_pulls_shape,chi2_ND,chi2_FD,chi2_FHC_app,chi2_RHC_app,chi2_FHC_dis,chi2_RHC_dis,n_component_rows,minimizer_status,pull_01_ND_fiducial_volume,pull_02_FD_fiducial_volume,pull_03_flux_FHC_signal,pull_04_flux_RHC_signal,pull_05_flux_FHC_background,pull_06_flux_RHC_background,pull_07_ND_flux_FHC_signal,pull_08_ND_flux_RHC_signal,pull_09_ND_flux_FHC_background,pull_10_ND_flux_RHC_background,pull_11_xsec_nue_CC,pull_12_xsec_numu_CC,pull_13_xsec_nutau_CC,pull_14_xsec_nuebar_CC,pull_15_xsec_numubar_CC,pull_16_xsec_nutaubar_CC,pull_17_ND_xsec_nue_CC,pull_18_ND_xsec_numu_CC,pull_19_ND_xsec_nutau_CC,pull_20_ND_xsec_nuebar_CC,pull_21_ND_xsec_numubar_CC,pull_22_ND_xsec_nutaubar_CC,pull_23_xsec_nu_NC,pull_24_xsec_nubar_NC,pull_25_ND_xsec_nu_NC,pull_26_ND_xsec_nubar_NC
11,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.00177827941004,0,0.0421821585917,0,0.00468340206507,0.00175231733922,0,0.00293108472585,0,0.000349915454232,0.00140240188499,0.00130722898072,0.000394857092425,1.86625779281e-005,3.15686881444e-005,1472,0,-9.72309704173e-005,0.000103394800747,0.000142980297246,0.000131987034124,0.000266648979942,0.000153530820899,-1.1426170355e-005,2.077843393e-006,-0.000133068198642,-2.21475089609e-005,0.000686983340161,-0.000238086353898,0,0.000686983340159,-0.000156013308856,0,-0.00070353456798,0.000203442575638,0,-0.00070353456798,0.000118827794116,0,4.69139178848e-005,4.69139178848e-005,-3.57614882761e-005,-3.57614882761e-005
12,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.00237137370566,0,0.0487160194502,0,0.00833251430223,0.003122245274,0,0.00521026902823,0,0.000621520743807,0.00250072453019,0.00232985018595,0.000703091953214,3.31826239726e-005,5.61205108603e-005,1472,0,-0.00012964194066,0.000137859478459,0.000190631788763,0.000175971489978,0.000355450628945,0.000204655724901,-1.5237990947e-005,2.76909209109e-006,-0.000177355581704,-2.94897095421e-005,0.000915931935851,-0.000317433295188,0,0.000915931935848,-0.000207994871954,0,-0.000937994339515,0.000271254070538,0,-0.000937994339515,0.000158427566665,0,6.2592859108e-005,6.2592859108e-005,-4.77273032199e-005,-4.77273032199e-005
13,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.00316227766017,0,0.0562638127644,0,0.0148273040227,0.00556677540888,0,0.00926052861385,0,0.00110349441848,0.00446328099041,0.00415554774386,0.00125249115624,5.89892589209e-005,9.9747249857e-005,1472,0,-0.000172848933188,0.000183803530387,0.00025414844397,0.000234597653977,0.000473767390694,0.00027276897757,-2.03218655944e-005,3.68952281158e-006,-0.000236341016501,-3.92461466888e-005,0.00122110351788,-0.000423197497378,0,0.00122110351789,-0.000277272781225,0,-0.00125050818197,0.000361650283658,0,-0.00125050818197,0.00021120994199,0,8.35261341644e-005,8.35261341644e-005,-6.37140613127e-005,-6.37140613127e-005
14,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.00421696503429,0,0.0649838903115,0,0.0263903436118,0.00993388036648,0,0.0164564632453,0,0.00195821310022,0.00797566726626,0.00741925118541,0.00223249780099,0.000104854552853,0.000177276827232,1472,0,-0.000230441965798,0.000245043640621,0.000338800131716,0.000312727025908,0.000631363974545,0.000363487700547,-2.71026095137e-005,4.91451490051e-006,-0.000314870275222,-5.21952225788e-005,0.00162781399342,-0.000564153410617,0,0.00162781399341,-0.000369584156145,0,-0.00166699725804,0.000482138918226,0,-0.00166699725804,0.000281552340896,0,0.000111485762096,0.000111485762096,-8.50863210611e-005,-8.50863210611e-005
15,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.0056234132519,0,0.0750598821345,0,0.046984772441,0.0177474707326,0,0.0292373017085,0,0.00347250638642,0.0142749643461,0.0132637151978,0.00398240610695,0.000186351437771,0.000314997990087,1472,0,-0.000307200086066,0.00032666015384,0.000451597600279,0.000416825545259,0.000841200567162,0.000484264559259,-3.61471428167e-005,6.54377061826e-006,-0.000419361819694,-6.93542196167e-005,0.00216974005528,-0.000751973761862,0,0.00216974005527,-0.000492555029529,0,-0.00222194114779,0.000642712392225,0,-0.00222194114779,0.00037527718299,0,0.000148850113129,0.000148850113129,-0.000113682128458,-0.000113682128458
16,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.00749894209332,0,0.0867050294722,0,0.0836841176511,0.0317557462,0,0.0519283714511,0,0.0061520411357,0.0256037050643,0.0237537166649,0.00711131770639,0.000331158957026,0.000559552871735,1472,0,-0.000409481463344,0.000435411308585,0.00060186007455,0.000555485509254,0.00112045144883,0.000644970658057,-4.82121925434e-005,8.70879858405e-006,-0.000558298001432,-9.20430030667e-005,0.00289164333012,-0.00100217431049,0,0.00289164333011,-0.000656311300853,0,-0.0029611646272,0.000856661586444,0,-0.0029611646272,0.000500122213273,0,0.000198818222325,0.000198818222325,-0.000151985373492,-0.000151985373492
17,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.01,0,0.100167421162,0,0.149129262812,0.0569370824225,0,0.0921921803894,0,0.0108855309762,0.0460515514464,0.0426390096929,0.0127160808403,0.000588373301957,0.000993618587329,1472,0,-0.000545738543656,0.000580280007015,0.000801962023714,0.000740111309612,0.00149182739396,0.000858650304609,-6.43081156981e-005,1.15824143928e-005,-0.000742854865521,-0.000121956776463,0.0038529529234,-0.00133535674677,0,0.00385295292339,-0.000874278717035,0,-0.00394550119133,0.00114164940033,0,-0.00394550119133,0.000666358703828,0,0.000265705177616,0.000265705177616,-0.000203367054219,-0.000203367054219
18,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.0133352143216,0,0.115736405371,0,0.265948980191,0.102363123798,0,0.163585856392,0,0.019228585357,0.0831345384412,0.0767746172155,0.022779903588,0.00104503045129,0.00176357254337,1472,0,-0.000727196056038,0.000773192958546,0.00106831097203,0.000985815674664,0.00198527626259,0.00114248781112,-8.57843455701e-005,1.53905741509e-005,-0.000987698175256,-0.000161241763429,0.00513245350225,-0.0017788360755,0,0.00513245350226,-0.00116422356414,0,-0.00525558462662,0.00152112180096,0,-0.00525558462662,0.000887599919865,0,0.000355353354979,0.000355353354979,-0.000272427575761,-0.000272427575761
19,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.0177827941004,0,0.133750568779,0,0.474602226454,0.17789103125,0,0.296711195204,0,0.033893406439,0.143997624811,0.133206298673,0.0395884291177,0.00189622414865,0.00320007931085,1472,0,-0.000980129847462,0.0010418938644,0.00143569063547,0.00132416954339,0.00266342083424,0.00153084953602,-0.000115879257391,2.05142454326e-005,-0.0013236280977,-0.000212765993184,0.00691446316661,-0.00239183983674,0,0.00691446316661,-0.00156319421047,0,-0.00707822651789,0.00204898965938,0,-0.00707822651789,0.00119516782609,0,0.00047952257653,0.00047952257653,-0.000369227986606,-0.000369227986606
20,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.0237137370566,0,0.154607864065,0,0.84815481389,0.318610881961,0,0.52954393193,0,0.0595559575604,0.2590549244,0.238951603311,0.0705558042269,0.00338917226404,0.00571430215859,1472,0,-0.00131028793135,0.00139268649082,0.00191675522705,0.00176733753143,0.00354913898793,0.00203864828928,-0.000155245686122,2.72225979276e-005,-0.00176112304875,-0.000279451471784,0.00923833413465,-0.00319380352001,0,0.00923833413465,-0.00208536862707,0,-0.00945585654117,0.00273837489657,0,-0.00945585654117,0.00159648720291,0,0.000644493916278,0.000644493916278,-0.000498021132831,-0.000498021132831
